meter_code,type,fab,fab_group,meter_name,wisdom_batch_id
DB_MP341(FAB2)3F-TDB-13,製程用電,Fab2,Fab12,Fab2棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
RACP1-6(TR5） 樓頂MAU,空調用電,Fab3,Fab3,熱水泵幹盤管泵真空泵,20220519095229_02e064cd16a944128c90118f8081c77e
MP251,製程用電,Fab2,Fab12,2F設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP332,製程用電,Fab2,Fab12,3F設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP121,製程用電,Fab2,Fab12,1F設備,20220519095229_02e064cd16a944128c90118f8081c77e
ZP1-16,製程用電,Fab3,Fab3,1F無塵室設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP32（空壓冷卻泵）,空壓用電,Fab3,Fab3,冷卻泵,20220519095229_02e064cd16a944128c90118f8081c77e
MP453（東3層排氣),真空排氣,Fab3,Fab3,一般排氣,20220519095229_02e064cd16a944128c90118f8081c77e
MP282,空調用電,Fab2,Fab12,MAU,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP443(FAB2)DCC,空調用電,Fab2,Fab12,空調水泵,20220519095229_02e064cd16a944128c90118f8081c77e
MP552,製程用電,Fab2,Fab12,3F設備,20220519095229_02e064cd16a944128c90118f8081c77e
真空設備,真空排氣,Fab1,Fab12,真空設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP22(空壓機3#),空壓用電,Fab3,Fab3,空壓機3#,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP52(FAB2)CH4,空調用電,Fab2,Fab12,4號冰機,20220519095229_02e064cd16a944128c90118f8081c77e
Fab2,製程用電,Fab1,Fab12,A棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP42(FAB2)CH3,空調用電,Fab2,Fab12,3號冰機,20220519095229_02e064cd16a944128c90118f8081c77e
MP164,基礎用電,Fab2,Fab12,電梯,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP136(FAB2)TR-CR4,製程用電,Fab2,Fab12,備用,20220519095229_02e064cd16a944128c90118f8081c77e
ZMP1-1（1#變壓器）車間工作桌,製程用電,Fab3,Fab3,1F無塵室設備,20220519095229_02e064cd16a944128c90118f8081c77e
ZP1-4,製程用電,Fab3,Fab3,1F無塵室設備,20220519095229_02e064cd16a944128c90118f8081c77e
TR-MP13,製程用電,Fab1,Fab12,A棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP164(FAB2)DT6,基礎用電,Fab2,Fab12,電梯,20220519095229_02e064cd16a944128c90118f8081c77e
MP361,製程用電,Fab2,Fab12,3F設備,20220519095229_02e064cd16a944128c90118f8081c77e
K106(TR3),高壓變壓器,Fab3,Fab3,高壓變壓器3,20220519095229_02e064cd16a944128c90118f8081c77e
K110(TR7),高壓變壓器,Fab3,Fab3,高壓變壓器7,20220519095229_02e064cd16a944128c90118f8081c77e
維修室制程盤,製程用電,Fab3,Fab3,3F維修室,20220519095229_02e064cd16a944128c90118f8081c77e
RACP1-8 (TR3) 樓頂MAU,空調用電,Fab3,Fab3,熱水系統,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP258(FAB2)TR-CR5,製程用電,Fab2,Fab12,備用,20220519095229_02e064cd16a944128c90118f8081c77e
MP431,空調用電,Fab2,Fab12,1號冰機,20220519095229_02e064cd16a944128c90118f8081c77e
101,總電錶,Fab12,Fab12,總表,20220519095229_02e064cd16a944128c90118f8081c77e
MP342,製程用電,Fab2,Fab12,3F設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP42,空調用電,Fab2,Fab12,3號冰機,20220519095229_02e064cd16a944128c90118f8081c77e
ZP3-4,製程用電,Fab3,Fab3,3F無塵室設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP145,照明插座,Fab2,Fab12,照明,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP166(FAB2)E-ML,照明插座,Fab2,Fab12,照明,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP441(FAB2)CDA2,空壓用電,Fab2,Fab12,Fab2棟2#,20220519095229_02e064cd16a944128c90118f8081c77e
