fab,factory,date,line,wisdom_batch_id
Fab2,LA7,2019/5/15,0.5,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F56,2020/5/27,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F64,2019/8/5,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F52,2021/9/10,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F54,2019/6/2,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F54,2020/7/7,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F60,2019/6/26,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F57,2020/7/1,4,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F58,2021/8/28,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F52,2019/12/29,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F64,2021/1/29,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F50,2021/12/4,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F50,2021/12/28,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F62,2019/1/25,1.5,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F54,2019/12/6,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F54,2019/2/14,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F56,2021/5/23,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F66,2019/11/9,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F54-3,2019/11/21,1,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F50,2020/12/20,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F60,2019/11/1,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F54,2021/9/15,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F64,2021/4/12,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F66,2019/9/18,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F52,2021/8/17,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,LA7,2020/8/7,2,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F60,2021/9/30,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F62,2021/7/30,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F57,2019/7/5,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F52,2021/6/24,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F54,2019/3/5,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F54,2021/9/12,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,LA8,2019/12/1,5,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F57,2022/2/6,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F57,2021/7/12,2,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F54,2021/5/10,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F52,2021/4/15,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F62,2019/11/10,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F52,2020/6/6,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F62,2022/2/5,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F57,2020/9/11,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F62,2019/9/28,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F57,2020/5/10,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F60,2021/12/25,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F62,2019/7/15,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F52,2020/5/27,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F50,2021/4/3,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F54,2020/9/13,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F54,2019/6/24,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F60,2019/5/31,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F57,2019/2/12,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,LA8,2019/1/22,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F56,2020/10/12,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F57,2020/4/17,4,20220421105654_82141b3b9409484ba9ea5469c0339084
